GEOID,med_income,pov_stat_pop,below_pov_line_prev_yr,state,county,pov_rate
18061,27080,38900,5005,18,061,12.87
18069,26081,34889,4057,18,069,11.63
18091,25595,102126,16924,18,091,16.57
18169,25451,29935,3993,18,169,13.34
18181,27016,23904,2342,18,181,9.8
18073,26602,32373,2898,18,073,8.95
18075,23821,20693,3705,18,075,17.9
18101,26928,9971,1330,18,101,13.34
18127,31449,163173,17954,18,127,11.0
18145,30183,43412,4623,18,145,10.65
18137,27822,27855,2916,18,137,10.47
18147,28653,20319,1964,18,147,9.67
18153,22533,18769,2934,18,153,15.63
18159,30509,15031,1414,18,159,9.41
18157,22813,169937,35575,18,157,20.93
18167,21880,98629,19632,18,167,19.9
18173,32467,60540,4656,18,173,7.69
18057,43758,307705,15322,18,057,4.98
18033,26892,41988,5262,18,033,12.53
18087,29224,38265,3489,18,087,9.12
18005,30105,79835,9870,18,005,12.36
18139,27455,16523,3027,18,139,18.32
18011,37687,62293,3820,18,011,6.13
18049,24625,19915,2655,18,049,13.33
18089,27291,482411,80849,18,089,16.76
18107,27387,36733,3734,18,107,10.17
18113,27115,46420,4295,18,113,9.25
18001,26708,34085,6448,18,001,18.92
18019,28714,113021,10981,18,019,9.72
18041,23625,23014,4188,18,041,18.2
18021,27165,25875,3584,18,021,13.85
18063,36310,155039,7832,18,063,5.05
18037,28975,41456,4150,18,037,10.01
18047,27687,22751,2248,18,047,9.88
18053,21587,62294,11878,18,053,19.07
18059,34828,72048,5037,18,059,6.99
18071,26199,42740,6650,18,071,15.56
18067,27928,81113,13400,18,067,16.52
18119,26830,20689,3230,18,119,15.61
18121,23491,15479,2153,18,121,13.91
18135,25211,24710,4209,18,135,17.03
18183,29646,32946,3117,18,183,9.46
18007,25748,8546,1271,18,007,14.87
18013,28299,14841,1566,18,013,10.55
18023,26634,31596,4187,18,023,13.25
18133,26035,31918,3696,18,133,11.58
18161,24000,7099,583,18,161,8.21
18175,26311,27478,3644,18,175,13.26
18027,25138,32248,4184,18,027,12.97
18029,30225,48758,4925,18,029,10.1
18065,24931,45046,7253,18,065,16.1
18083,24396,35266,5512,18,083,15.63
18093,25800,44723,5150,18,093,11.52
18095,24672,123108,21454,18,095,17.43
18123,26645,17415,2529,18,123,14.52
18125,27180,12207,1300,18,125,10.65
18131,26714,12599,1663,18,131,13.2
18129,30502,25292,2398,18,129,9.48
18151,26660,32825,3325,18,151,10.13
18171,30741,8049,762,18,171,9.47
18165,25257,15369,2066,18,165,13.44
18179,27773,27257,3011,18,179,11.05
18003,28086,361375,53204,18,003,14.72
18031,28698,25968,2957,18,031,11.39
18035,21174,108823,23018,18,035,21.15
18043,29984,75023,8104,18,043,10.8
18077,26527,29671,4055,18,077,13.67
18079,25961,27411,3815,18,079,13.92
18081,32682,146807,13820,18,081,9.41
18103,25054,33610,5363,18,103,15.96
18109,28173,68188,8073,18,109,11.84
18051,27511,32727,3497,18,051,10.69
18111,27042,13805,1932,18,111,13.99
18117,22355,19218,2892,18,117,15.05
18141,25095,256798,44003,18,141,17.14
18085,28835,76879,8600,18,085,11.19
18099,25945,46000,5302,18,099,11.53
18155,23947,10470,2065,18,155,19.72
18163,25759,175128,31506,18,163,17.99
18009,22794,11953,1534,18,009,12.83
18015,28203,19796,2015,18,015,10.18
18143,25888,23270,3198,18,143,13.74
18105,20728,129312,31974,18,105,24.73
18045,25620,16208,2047,18,045,12.63
18039,26520,198936,27452,18,039,13.8
18149,22825,22868,3818,18,149,16.7
18025,23566,10412,1851,18,025,17.78
18017,26171,37299,5170,18,017,13.86
18055,25286,31993,4114,18,055,12.86
18097,26588,920904,182317,18,097,19.8
18115,31392,5780,288,18,115,4.98
18177,22607,64308,11727,18,177,18.24
