Unnamed: 0,Water System,respondent,num_lsl,pct_lsl,data_source,full_addr,lat,long,tot_num_serv_connects_sdwis,LCR_90thpctile,SDWIS PWS ID,PWSID,sys_name,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,Service Line Material is Unknown - Number of Service Connection,lead_gooseneck_serv_connects,lead_serv_line_serv_connects,"Lead only from Water Main to Property line, Curb or Shut-Off",lead_btwn_shutoff_house,owner_btwn_watermain_shutoff,"Ownership from curb, propertly line, or shut-off to home",e_r_leadportion,e_r_slmat,e_r_lead_gooseneck,E or R - Entire Service Line is Lead from the Water Main to home,e_r_lead_maintoshutoff,e_r_shutofftohouse,e_r_num_serv_connects,e_r_tot_sl_w_lead,conf_rec_no_lead,conf_rec_mat_unk,conf_rec_lead_gooseneck,conf_rec_lead_servline,conf_rec_lead_btwn_watermain_shutoff,conf_rec_lead_btw_shutoff_house,Confidence in Records - Total Number of Service Connection,conf_rec_tot_num_serv_lines_w_lead,_merge
0,Aberdeen Pate Water Company Inc,Yes,No response,Unknown,Unknown,"6124 Hartford Ridge Road, Aurora, IN 47001-9682",38.961643,-84.953909,1875,0.0013,IN5258001,IN5258001,"ABERDEEN PATE WATER COMPANY, INC.",2070.0,,2070.0,,,,,,P,R,E,,,,,,,,5.0,,,,,,,,both
1,Advance Water Works,Yes,0,0%,Estimated,"112 North Main Street, Advance, IN 46102",39.994865,-86.620247,208,Unknown,IN5206001,IN5206001,ADVANCE WATER WORKS,211.0,0.0,211.0,,0.0,0.0,0.0,0.0,M,R,R,,E,E,E,E,R,E,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,both
2,Akron Water Department,Yes,No response,Unknown,Unknown,"206 West Rochester Street, Akron, IN 46910",41.03847,-86.032879,500,Unknown,IN5225001,IN5225001,AKRON WATER DEPARTMENT,481.0,,405.0,76.0,,0.0,,,P,R,E,E,,0,,,E,,8.0,8.0,,10.0,,,8.0,,both
3,Albany Water Department,No,No response,Unknown,Unknown,"210 East State Street, Albany, IN 47320-1235",40.299449,-85.235016,940,Unknown,IN5218001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
4,Albion Water & Sewer,No,No response,Unknown,Unknown,"P.O. Box 27, Albion, IN 46701-0027",41.395604,-85.424424,912,Unknown,IN5257001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
5,Alexandria Water Department,Yes,479,23.91%,Estimated,"125 North Wayne Street P.O. Box 149, Alexandria, IN 46001",40.26332,-85.672938,2003,0.0058,IN5248001,IN5248001,ALEXANDRIA WATER DEPARTMENT,2434.0,479.0,1965.0,,459.0,0.0,20.0,0.0,M,R,E and R,,E,E,E,E,R,E,6.0,,5.0,8.0,7.0,8.0,9.0,6.0,both
6,Alfordsville Water Utility,No,No response,Unknown,Unknown,"P.O. Box 119, Montgomery, IN 47558",38.662549,-87.046118,204,Unknown,IN5214001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
7,Ambia Water Department,No,No response,Unknown,Unknown,"P.O. Box 218, Ambia, IN 47917-0218",40.490036,-87.516964,90,Unknown,IN5204001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
8,Ancilla Domini (Convent),Yes,No response,Unknown,Unknown,"9601 Union Road, Donaldson, IN 46513-0001",41.337728,-86.445163,5,Unknown,IN5250016,IN5250016,ANCILLA DOMINI (CONVENT),6.0,,6.0,,,,,,P,P,R,,,,,,,,10.0,,,,,,,,both
9,Anderson Township Regional Sewer Dist,Yes,0,0%,Unknown,"P.O. Box 188, Milroy, IN 46156",39.496644,-85.46909,294,Unknown,IN5270003,IN5270003,ANDERSON TOWNSHIP REGIONAL SEWER DIST.,300.0,0.0,200.0,100.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,R,0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,8.0,both
