fid,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,census_med_income,census_pov_stat_pop,census_below_pov_line_prev_yr,census_state,census_county,census_pov_rate,pop_dense,field_1,lat,long,tot_num_serv_connects_sdwis,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,unk_mat_serv_connects,pct_lsl_calc
"1","18","073","00450494","18073",Jasper,Jasper County,"06",H1,G4020,"176","16980","23844",A,"1449422928","4569484","+41.0176883","-087.1188137","26602","32373","2898","18","73",8.95,"0","380",41.066621,-87.134078,"38",,,,,
"2","18","073","00450494","18073",Jasper,Jasper County,"06",H1,G4020,"176","16980","23844",A,"1449422928","4569484","+41.0176883","-087.1188137","26602","32373","2898","18","73",8.95,"0","499",41.209735,-87.219566,"875",829,,829,,
"3","18","073","00450494","18073",Jasper,Jasper County,"06",H1,G4020,"176","16980","23844",A,"1449422928","4569484","+41.0176883","-087.1188137","26602","32373","2898","18","73",8.95,"0","571",40.760873,-87.150852,"649",645,40,605,0,6.2
"4","18","073","00450494","18073",Jasper,Jasper County,"06",H1,G4020,"176","16980","23844",A,"1449422928","4569484","+41.0176883","-087.1188137","26602","32373","2898","18","73",8.95,"0","573",40.934584,-87.150309,"2684",2684,,,2684,
"5","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","13",41.635098,-84.999853,"3155",3010,410,2000,600,13.62
"6","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","21",41.527998,-85.071786,"400",400,0,400,0,0
"7","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","84",41.667024,-85.064313,"20",,,,,
"8","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","121",41.666969,-85.064156,"18",,,,,
"9","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","232",41.730883,-84.93274,"862",30,10,20,0,33.33
"10","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","245",41.692287,-85.015358,"48",48,0,48,0,0
"11","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","248",41.691244,-84.967219,"41",,,,,
"12","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","289",41.634773,-84.999409,"90",,,,,
"13","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","299",41.532828,-85.081079,"253",,,,,
"14","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","383",41.753538,-85.056751,"30",,,,,
"15","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","384",41.666985,-85.064246,"19",,,,,
"16","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","394",41.67623,-85.028681,"19",19,,19,,
"17","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","403",41.676229,-85.028681,"16",16,,16,,
"18","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","440",41.749208,-85.005742,"49",51,,,51,
"19","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","449",41.677485,-85.02819,"19",19,,19,,
"20","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","513",41.730606,-85.171638,"205",,,,,
"21","18","151","00450390","18151",Steuben,Steuben County,"06",H1,G4020,"258","11420",,A,"799725227","35458838","+41.6434670","-085.0024051","26660","32825","3325","18","151",10.13,"0","629",41.634788,-85.073345,"250",,,,,
"22","18","115","00450378","18115",Ohio,Ohio County,"06",H1,G4020,"178","17140",,A,"223126822","3352208","+38.9405270","-084.9642994","31392","5780","288","18","115",4.98,"0","0",38.961643,-84.953909,"1875",2070,,2070,,
"23","18","115","00450378","18115",Ohio,Ohio County,"06",H1,G4020,"178","17140",,A,"223126822","3352208","+38.9405270","-084.9642994","31392","5780","288","18","115",4.98,"0","581",38.950197,-84.852456,"1116",1116,95,1021,0,8.51
"24","18","123","00451682","18123",Perry,Perry County,"06",H1,G4020,,,,A,"988669306","11816977","+38.0814361","-086.6265397","26645","17415","2529","18","123",14.52,"0","12",37.947392,-86.769278,"1030",,,,,
"25","18","123","00451682","18123",Perry,Perry County,"06",H1,G4020,,,,A,"988669306","11816977","+38.0814361","-086.6265397","26645","17415","2529","18","123",14.52,"0","78",37.912528,-86.742439,"660",,,,,
"26","18","123","00451682","18123",Perry,Perry County,"06",H1,G4020,,,,A,"988669306","11816977","+38.0814361","-086.6265397","26645","17415","2529","18","123",14.52,"0","684",37.951445,-86.767766,"3450",3401,175,3226,0,5.15
"27","18","123","00451682","18123",Perry,Perry County,"06",H1,G4020,,,,A,"988669306","11816977","+38.0814361","-086.6265397","26645","17415","2529","18","123",14.52,"0","701",37.911445,-86.744432,"280",262,0,262,0,0
"28","18","123","00451682","18123",Perry,Perry County,"06",H1,G4020,,,,A,"988669306","11816977","+38.0814361","-086.6265397","26645","17415","2529","18","123",14.52,"0","702",37.995334,-86.797767,"489",,,,,
"29","18","007","00450403","18007",Benton,Benton County,"06",H1,G4020,"320","29200",,A,"1052616452","236033","+40.6009826","-087.3147896","25748","8546","1271","18","7",14.87,"0","7",40.490036,-87.516964,"90",,,,,
"30","18","007","00450403","18007",Benton,Benton County,"06",H1,G4020,"320","29200",,A,"1052616452","236033","+40.6009826","-087.3147896","25748","8546","1271","18","7",14.87,"0","52",40.51916,-87.383654,"400",,,,,
"31","18","007","00450403","18007",Benton,Benton County,"06",H1,G4020,"320","29200",,A,"1052616452","236033","+40.6009826","-087.3147896","25748","8546","1271","18","7",14.87,"0","185",40.683663,-87.415632,"170",,,,,
"32","18","007","00450403","18007",Benton,Benton County,"06",H1,G4020,"320","29200",,A,"1052616452","236033","+40.6009826","-087.3147896","25748","8546","1271","18","7",14.87,"0","225",40.617866,-87.320443,"1119",,,,,
"33","18","007","00450403","18007",Benton,Benton County,"06",H1,G4020,"320","29200",,A,"1052616452","236033","+40.6009826","-087.3147896","25748","8546","1271","18","7",14.87,"0","517",40.490591,-87.096403,"565",565,563,2,,99.65
"34","18","007","00450403","18007",Benton,Benton County,"06",H1,G4020,"320","29200",,A,"1052616452","236033","+40.6009826","-087.3147896","25748","8546","1271","18","7",14.87,"0","521",40.519759,-87.247792,"500",,,,,
"35","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","11",40.862545,-85.601646,"447",,,,,
"36","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","128",40.843376,-85.531075,"476",,,,,
"37","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","281",40.687314,-85.4299,"1",,,,,
"38","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","302",40.855939,-85.498475,"7516",6844,,2976,3868,
"39","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","425",40.825755,-85.339021,"465",,,,,
"40","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","500",40.883101,-85.497476,"190",,,,,
"41","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","587",40.962547,-85.373308,"823",,,,,
"42","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","713",40.858098,-85.536502,"100",,,,,
"43","18","069","00450361","18069",Huntington,Huntington County,"06",H1,G4020,"258","26540",,A,"991057049","13133342","+40.8263938","-085.4785975","26081","34889","4057","18","69",11.63,"0","732",40.681554,-85.427155,"639",,,,,
"44","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","83",40.739987,-85.753089,"40",,,,,
"45","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","323",40.668723,-85.829446,"93",97,0,97,0,0
"46","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","327",40.803973,-85.826506,"4406",4460,595,3865,0,13.34
"47","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","369",40.673231,-85.720466,"396",450,75,375,75,16.67
"48","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","371",40.8381,-85.730261,"224",194,,194,,
"49","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","377",40.796796,-85.900755,"27",42,,42,42,
"50","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","494",40.998836,-85.765223,"2501",2300,700,900,700,30.43
"51","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","562",40.739989,-85.75309,"54",,,,,
"52","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","576",40.80888,-85.883076,"32",,,,,
"53","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","586",40.912074,-85.924728,"194",195,30,82,83,15.38
"54","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","756",40.746144,-85.779613,Unknown,13,,13,,
"55","18","169","00450399","18169",Wabash,Wabash County,"06",H1,G4020,,"47340",,A,"1068205084","22117118","+40.8437475","-085.7951915","25451","29935","3993","18","169",13.34,"0","757",40.746144,-85.779613,"42",42,,42,,
"56","18","003","00450402","18003",Allen,Allen County,"06",H1,G4020,"258","23060",,A,"1702454342","6999605","+41.0918553","-085.0722302","28086","361375","53204","18","3",14.72,"0","16",41.04037,-85.232577,"214",,,,,
"57","18","003","00450402","18003",Allen,Allen County,"06",H1,G4020,"258","23060",,A,"1702454342","6999605","+41.0918553","-085.0722302","28086","361375","53204","18","3",14.72,"0","134",40.98512,-85.090865,"250",0,0,250,0,
"58","18","003","00450402","18003",Allen,Allen County,"06",H1,G4020,"258","23060",,A,"1702454342","6999605","+41.0918553","-085.0722302","28086","361375","53204","18","3",14.72,"0","222",41.086406,-85.130029,"96618",101000,28000,66000,7000,27.72
"59","18","003","00450402","18003",Allen,Allen County,"06",H1,G4020,"258","23060",,A,"1702454342","6999605","+41.0918553","-085.0722302","28086","361375","53204","18","3",14.72,"0","253",41.210883,-84.966911,"500",560,0,560,0,0
