,lat,long,tot_num_serv_connects_sdwis,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,unk_mat_serv_connects,pct_lsl_calc
0,38.961643,-84.953909,1875,2070.0,,2070.0,,
1,39.994865,-86.620247,208,211.0,0.0,211.0,,0.0
2,41.03847,-86.032879,500,481.0,,405.0,76.0,
3,40.299449,-85.235016,940,,,,,
4,41.395604,-85.424424,912,,,,,
5,40.26332,-85.672938,2003,2434.0,479.0,1965.0,,19.68
6,38.662549,-87.046118,204,,,,,
7,40.490036,-87.516964,90,,,,,
8,41.337728,-86.445163,5,6.0,,6.0,,
9,39.496644,-85.46909,294,300.0,0.0,200.0,100.0,0.0
10,40.11052,-85.720973,21500,27745.0,6936.0,18034.0,2775.0,25.0
11,40.862545,-85.601646,447,,,,,
12,37.947392,-86.769278,1030,,,,,
13,41.635098,-84.999853,3155,3010.0,410.0,2000.0,600.0,13.62
14,40.723864,-86.286764,81,,,,,
15,39.73609,-86.262283,185,,,,,
16,41.04037,-85.232577,214,,,,,
17,39.916363,-86.070166,460,,,,,
18,40.17587,-86.021652,650,653.0,28.0,625.0,0.0,4.29
19,41.235849,-86.247098,740,,,,,
20,39.937117,-85.960609,47,50.0,,50.0,,
21,41.527998,-85.071786,400,400.0,0.0,400.0,0.0,0.0
22,40.215315,-86.026375,300,300.0,0.0,300.0,0.0,0.0
23,40.29303,-87.246764,1400,,,,,
24,41.373216,-85.069559,5413,5238.0,150.0,5038.0,50.0,2.86
25,39.05719,-84.899759,2590,1924.0,12.0,1884.0,30.0,0.62
26,40.167486,-85.479632,32,,,,,
27,41.472644,-87.030529,99,,,,,
28,41.33199,-85.849992,23,,,,,
29,41.365882,-85.238863,825,823.0,,540.0,283.0,
30,39.25,-86.45,1788,1800.0,0.0,1800.0,0.0,0.0
31,39.762233,-86.817696,335,310.0,,310.0,,
32,39.521386,-86.168272,13000,11000.0,0.0,11000.0,0.0,0.0
33,39.298127,-85.224191,2910,,,,,
34,40.508369,-86.841676,850,,,,,
35,39.281968,-86.765401,3800,3716.0,,2581.0,1135.0,
36,38.860165,-86.486821,5855,5832.0,,15.0,5817.0,
37,41.61362,-86.896071,43,,,,,
38,41.350458,-85.11723,60,,,,,
39,40.656404,-84.951093,1568,1568.0,134.0,1302.0,0.0,8.55
40,38.773856,-87.306442,1505,1505.0,200.0,,,13.29
41,40.122718,-85.946149,24,,,,,
42,39.64449,-86.864732,208,,,0.0,150.0,
43,38.29903,-86.688651,360,360.0,0.0,360.0,0.0,0.0
