Data comes from State of Indiana Survey (State Survey) and EPA's Safe Drinking Water Information System (SDWIS).,,,,,,,,,,
Water System,Responded to State Survey?,# with Lead Service Line,% with Lead Service Line,Data Source,Full Address,Latitude,Longitude,SDWIS Total # of Service Connections,SDWIS LCR 90th Percentile Sample (ppm),SDWIS PWS ID
Aberdeen Pate Water Company Inc,Yes,No response,Unknown,Unknown,"6124 Hartford Ridge Road, Aurora, IN 47001-9682",38.961643,-84.953909,1875,0.0013,IN5258001
Advance Water Works,Yes,0,0%,Estimated,"112 North Main Street, Advance, IN 46102",39.994865,-86.620247,208,Unknown,IN5206001
Akron Water Department,Yes,No response,Unknown,Unknown,"206 West Rochester Street, Akron, IN 46910",41.03847,-86.032879,500,Unknown,IN5225001
Albany Water Department,No,No response,Unknown,Unknown,"210 East State Street, Albany, IN 47320-1235",40.299449,-85.235016,940,Unknown,IN5218001
Albion Water & Sewer,No,No response,Unknown,Unknown,"P.O. Box 27, Albion, IN 46701-0027",41.395604,-85.424424,912,Unknown,IN5257001
Alexandria Water Department,Yes,479,23.91%,Estimated,"125 North Wayne Street P.O. Box 149, Alexandria, IN 46001",40.26332,-85.672938,2003,0.0058,IN5248001
Alfordsville Water Utility,No,No response,Unknown,Unknown,"P.O. Box 119, Montgomery, IN 47558",38.662549,-87.046118,204,Unknown,IN5214001
Ambia Water Department,No,No response,Unknown,Unknown,"P.O. Box 218, Ambia, IN 47917-0218",40.490036,-87.516964,90,Unknown,IN5204001
Ancilla Domini (Convent),Yes,No response,Unknown,Unknown,"9601 Union Road, Donaldson, IN 46513-0001",41.337728,-86.445163,5,Unknown,IN5250016
Anderson Township Regional Sewer Dist,Yes,0,0%,Unknown,"P.O. Box 188, Milroy, IN 46156",39.496644,-85.46909,294,Unknown,IN5270003
Anderson Water Department,Yes,6936,32.26%,Estimated and Recorded,"550 Dale Keith Jones Road, Anderson, IN 46011",40.11052,-85.720973,21500,0.0023,IN5248002
Andrews Water Department,No,No response,Unknown,Unknown,"P.O. Box 386, Andrews, IN 46702",40.862545,-85.601646,447,Unknown,IN5235001
And-Tro Water Authority - District 1 & 2,No,No response,Unknown,Unknown,"P.O. Box 603, Tell City, IN 47586",37.947392,-86.769278,1030,Unknown,IN5262001
Angola Water Department,Yes,410,13.00%,Estimated,"210 North Public Square, Angola, IN 46703-1960",41.635098,-84.999853,3155,0.008,IN5276001
Anoka Acres Mobile Home Park,No,No response,Unknown,Unknown,"2904 S US Highway 35, Logansport IN 46947",40.723864,-86.286764,81,Unknown,IN5209001
Apple Valley Utilities Inc,No,No response,Unknown,Unknown,"5940 West Raymond Street, Indianapolis, IN 46241",39.73609,-86.262283,185,Unknown,IN5245001
Aqua Indiana - Wedgewood Park Water Utility,No,No response,Unknown,Unknown,"6811 Engle Rd, Fort Wayne, IN 46804",41.04037,-85.232577,214,Unknown,IN5271018
Aqua Indiana Water Company,No,No response,Unknown,Unknown,"5750 Castle Creek Parkway North Drive, Indianapolis, IN 46250",39.916363,-86.070166,460,Unknown,IN5245017
Arcadia Water Department,Yes,28,4.31%,Estimated,"P.O. Box 578, Arcadia, IN 46030-0578",40.17587,-86.021652,650,Unknown,IN5229001
Argos Municipal Water Plant,No,No response,Unknown,Unknown,"201 West Walnut Street, Argos, IN 46501",41.235849,-86.247098,740,Unknown,IN5250001
Arrowhead Mobile Home Park,Yes,No response,Unknown,Unknown,"9837 Gulfstream Court, Fishers, IN 46037",39.937117,-85.960609,47,0.0237,IN5230001
Ashley Water Department,Yes,0,0%,Estimated,"403 West Lincoln Street P.O. Box 70, Ashley, IN 46705",41.527998,-85.071786,400,Unknown,IN5276002
Atlanta Water Department,Yes,0,0%,Recorded,"P.O. Box 133, Atlanta, IN 46031",40.215315,-86.026375,300,Unknown,IN5229002
Attica Water Utility,No,No response,Unknown,Unknown,"305 East Main Street, Attica, IN 47918",40.29303,-87.246764,1400,Unknown,IN5223001
Auburn Water Department,Yes,150,2.77%,Estimated,"800 North Street, Auburn, IN 46706",41.373216,-85.069559,5413,0.013,IN5217001
Aurora Utilities,Yes,12,0.46%,Estimated,"P.O. Box 120 110 Main Street, Aurora, IN 47001",39.05719,-84.899759,2590,0.0015,IN5215001
Autumn Acres Mobile Home Subdivision,No,No response,Unknown,Unknown,"2800 South Andrews Road Lot 47, Yorktown, IN 47396",40.167486,-85.479632,32,Unknown,IN5218028
Autumn Creek Mobile Home Park,No,No response,Unknown,Unknown,"2501 Chicago Street Suite 4, Valparaiso, IN 46385",41.472644,-87.030529,99,Unknown,IN5246007
Autumn Grove,No,No response,Unknown,Unknown,"P.O. Box 143, Leesburg, IN 46538",41.33199,-85.849992,23,Unknown,IN5244013
Avilla Water Department,Yes,No response,Unknown,Unknown,"P.O.  Box 49, Avilla, IN 46710-0049",41.365882,-85.238863,825,Unknown,IN5257002
B&B Water Project Inc,Yes,0,0%,Estimated,"P.O. Box 7287, Bloomington, IN 47407-7287",39.25,-86.45,1788,0.0001,IN5253001
Bainbridge Water Works,Yes,No response,Unknown,Unknown,"201 North Grant Avenue, Bainbridge, IN 46105-9344",39.762233,-86.817696,335,Unknown,IN5267001
Bargersville Water Department,Yes,0,0%,Unknown,"24 North Main P.O. Box 420, Bargersville, IN 46106-0420",39.521386,-86.168272,13000,0.009,IN5241001
Batesville Water Utility,No,No response,Unknown,Unknown,"P.O. Box 97, Batesville, IN 47006",39.298127,-85.224191,2910,Unknown,IN5269001
Battle Ground Water District,No,No response,Unknown,Unknown,"P.O. Box 303, Battle Ground, IN 47920",40.508369,-86.841676,850,Unknown,IN5279002
Bbp Water Company,Yes,No response,Unknown,Unknown,"P.O. Box 186 256 South Clay Street, Spencer, IN 47460",39.281968,-86.765401,3800,0.0078,IN5260001
Bedford City Utilities,Yes,No response,Unknown,Unknown,"1614 L Street, Bedford, IN 47421-3730",38.860165,-86.486821,5855,0.008,IN5247001
Beechwood Mobile Home Park,No,No response,Unknown,Unknown,"10112 West 50 North, Michigan City, IN 46360",41.61362,-86.896071,43,Unknown,IN5246002
Ben Mar Chateau,No,No response,Unknown,Unknown,"100 South Taylor Road, Garrett, IN 46738",41.350458,-85.11723,60,Unknown,IN5217002
Berne Water Department,Yes,134,8.55%,Recorded,"158 West Franklin Street, Berne, IN 46711",40.656404,-84.951093,1568,0.012,IN5201001
Bicknell Municipal Utilities,Yes,200,13.29%,Estimated,"203 Washington St, Bicknell, IN 47512",38.773856,-87.306442,1505,0.002,IN5242001
Big Maple Mobile Home Park,No,No response,Unknown,Unknown,"S.R. 37 Woodville Rd West E, Strawtown, IN 46060",40.122718,-85.946149,24,Unknown,IN5229003
Big Walnut Water Company,Yes,No response,Unknown,Unknown,"P.O. Box 750, Greencastle, IN 46135",39.64449,-86.864732,208,Unknown,IN5267002
Birdseye Water System,Yes,0,0%,Recorded,"103 West State Road 64, Birdseye, IN 47513",38.29903,-86.688651,360,Unknown,IN5219001
Bloomingdale Water Works,No,No response,Unknown,Unknown,"P.O. Box 27 82 South Main Street, Bloomingdale, IN 47832-0206",39.832555,-87.250557,190,Unknown,IN5261001
Blue Lake Mobile Home Park,No,No response,Unknown,Unknown,"6120 East 500 North, Churubusco IN 46723",41.23582,-85.372481,50,Unknown,IN5292010
Blue Ridge Mobile Home Park,No,No response,Unknown,Unknown,"6775 U.S. 33, Churubusco IN 46723",41.257772,-85.36041,110,Unknown,IN5292002
Blue River Estates Mobile Home Park,Yes,0,0%,Estimated,"P.O. Box 17496, Indianapolis, IN 46217",39.661576,-86.185347,50,Unknown,IN5273001
Blue River Regional Water District,Yes,0,0%,Recorded,"8569 East State Road 64, Milltown, IN 47145",38.357461,-86.297153,800,Unknown,IN5213006
Bluffs Basin Utility Company,No,No response,Unknown,Unknown,"122 East Fourth Street, Marion, IN 46952",40.557585,-85.658699,15,Unknown,IN5227002
Bluffton Utilities Water Dept,Yes,1094,25.43%,Estimated,"900 Compromise Lane, Bluffton, IN 46714",40.737109,-85.157246,4302,0.0048,IN5290001
Borden Tri-County Region,No,No response,Unknown,Unknown,"P.O. Box 40, Borden, IN 47106",38.466728,-85.945804,3961,Unknown,IN5210002
Boswell Water Department,No,No response,Unknown,Unknown,"112 North Adams Street P.O. Box 223, Boswell, IN 47921",40.51916,-87.383654,400,Unknown,IN5204002
Bourbon Water Department,Yes,No response,Unknown,Estimated,"104 East Park Avenue, Bourbon, IN 46504-1528",41.297115,-86.11583,772,Unknown,IN5250002
