Lead Service Address,x,y
1 ALDIE ST ALLSTON,754323.4494244158,2956106.9901780635
1 ARCADIA ST ROXBURY,764157.5211892426,2940515.40233247
1 BELLINGHAM PL BOSTON,772465.7056517452,2956449.097761482
1 BOYLSTON ST JAMAICA PLAIN,761254.2420245409,2941580.658168122
1 CENTERVALE PARK DORCHESTER,774073.5951452702,2933170.1724452823
1 COPLEY ST ROXBURY,764133.457455501,2940607.8653862327
1 F ST SOUTH BOSTON,777405.3844086826,2946841.4311540127
1 FOSTER ST BOSTON,776590.5451477319,2959154.3414756954
1 HARBELL TER DORCHESTER,775736.7265331149,2935224.8507255614
1 HILARY ST CHARLESTOWN,774450.0610011518,2962707.6662367135
1 HILLSIDE AV JAMAICA PLAIN,760778.4049296379,2933709.229838103
1 LINDEN ST BOSTON,779239.6237190813,2947235.708176747
1 MONKS ST SOUTH BOSTON,782510.9947877228,2946666.081368625
1 MOODY ST DORCHESTER,771907.1191179901,2929927.8055333644
1 MOORE ST EAST BOSTON,785835.8952199221,2965398.3188136965
1 MOUNT PLEASANT TER ROXBURY,769798.2489004582,2944400.5162480325
1 PAMA GDNS BRIGHTON,748687.5568985492,2950027.9831103683
1 ROSLYN PL JAMAICA PLAIN,762594.1242312193,2941074.0439043194
1 SHEPARD PL BRIGHTON,750369.7716794312,2951425.9824970216
1 SWIFT TER EAST BOSTON,785332.9666924924,2964060.8501172066
1 VICTORIA ST DORCHESTER,775902.1770257205,2940391.8990157247
1 WABENO ST ROXBURY,767908.5675023049,2940242.9303088486
1 WABON ST ROXBURY,768594.6025543958,2939861.7169656307
10 ARDMORE RD WEST ROXBURY,751346.2126992345,2930737.7128387243
10 BARTLETT ST CHARLESTOWN,774516.4308678657,2962799.1135053933
10 BASTO TER ROSLINDALE,755761.3880045116,2930535.7736164033
10 BOWDOIN PARK DORCHESTER,773000.4244114906,2936946.8414001167
10 BRIGHTON ST CHARLESTOWN,770065.5307129323,2964948.4754139483
10 CALTHA RD BRIGHTON,746254.6213033944,2949699.2627819628
10 COTTAGE ST EAST BOSTON,781343.8535013497,2958748.0876241624
10 CUSHING AV DORCHESTER,773906.4992562383,2940610.0711428076
10 DEVON ST ROXBURY,769160.7042042464,2938744.633410573
10 ELDORA ST ROXBURY,762238.3021884412,2945942.3364674
10 GLENVILLE TER ALLSTON,755919.6145989597,2953386.134098232
10 GLOVER CT SOUTH BOSTON,776094.92368038,2945900.443119988
10 GOODWAY RD JAMAICA PLAIN,760152.3045235276,2930831.176557213
10 GRANT RD ROXBURY,771036.4346607625,2935873.889306605
10 HARTLEY TER ALLSTON,757317.197268784,2954584.684584126
10 HENDRY ST DORCHESTER,773868.4612955153,2937915.929696396
10 HIGGINS ST ALLSTON,754677.0242808461,2953822.5642359853
10 HOUGHTON ST DORCHESTER,777163.0478463173,2933155.1056218594
10 JOY ST BOSTON,773680.9393264055,2956049.142140314
10 KEVIN RD DORCHESTER,774726.7316434234,2940697.6288527995
10 LEAMINGTON RD BRIGHTON,750941.5540445745,2949884.515791431
10 LEXINGTON AV CHARLESTOWN,775167.9700523019,2962933.089478582
10 LINCOLN ST BRIGHTON,751631.3044689298,2956006.4105207324
10 LINLEY TER SOUTH BOSTON,780770.1236352026,2947788.421361968
10 MOUNT HOOD RD BRIGHTON,752934.8948128521,2949708.217355311
10 NEPONSET AV DORCHESTER,776353.4774223417,2933607.880554974
10 NOTTINGHAM ST ROXBURY,771476.5961983502,2935067.8234772235
10 OPHIR ST JAMAICA PLAIN,763248.2743975967,2938459.6728855073
10 QUINT AV ALLSTON,755144.0319989026,2953758.0623372495
10 RONAN ST DORCHESTER,773316.4409247041,2938742.1576045454
10 SAVIN HILL AV DORCHESTER,775598.3971089125,2939389.42589508
10 THWING ST ROXBURY,765880.3023556769,2943199.5398532897
10 TRESCOTT ST DORCHESTER,775043.7932751924,2940350.073407471
10 TRULL ST DORCHESTER,773739.6102135777,2939155.615395382
10 WAUMBECK ST ROXBURY,768529.2693388462,2939471.680596113
10 WOODBOURNE RD JAMAICA PLAIN,760927.2396702319,2931567.9461274445
10 WOODMAN ST JAMAICA PLAIN,759801.9115934223,2937098.670877129
10 WYOMING ST ROXBURY,768452.2837771922,2940038.8385535777
100 CRAWFORD ST ROXBURY,766885.6395729184,2939542.9645763934
100 L ST SOUTH BOSTON,781852.8002302796,2947138.348246604
100 MYRTLE ST BOSTON,772927.3764912486,2956206.246200025
101 ADDINGTON RD WEST ROXBURY,747340.6896952391,2931305.4849847853
101 DAKOTA ST DORCHESTER,772966.2856864929,2934524.434709102
101 DAY ST JAMAICA PLAIN,761727.2516140938,2943228.562154442
101 FANEUIL ST BRIGHTON,749454.2070009708,2954906.3328226954
101 KILSYTH RD BRIGHTON,751893.5880987048,2949337.4170943648
101 LANARK RD BRIGHTON,751330.469996199,2949403.2955497056
101 RADCLIFFE ST DORCHESTER,770270.4816064537,2933911.805022314
101 RUTHERFORD AV CHARLESTOWN,773845.6522483677,2961510.4738606215
101 SYDNEY ST DORCHESTER,777234.1246778071,2940175.475405857
102 ALLSTON ST ALLSTON,754419.2217178494,2952723.8579536527
102 COLBORNE RD BRIGHTON,751060.4311392009,2950725.4043904096
102 LAWRENCE AV ROXBURY,771196.4584599584,2938622.9895944
102 PARIS ST EAST BOSTON,781062.5176264644,2961094.047340378
103 ADDISON ST EAST BOSTON,786482.9321691096,2965878.6817315966
103 BROOKS ST EAST BOSTON,782044.7052862793,2963038.9409969747
103 HOMES AV DORCHESTER,773386.0556184053,2935841.0146428198
